,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,fullname,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,cohort,,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
158,DAG 18:1;0_19:1;0,DAG,,0.662636995,,1.184319973,,0.923478484,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,,0,Down,Down,,,
52,Cer 40:1;3,Cer,,,,,,0,,1.458220005,,,,,1.458220005,up,NA,,,,,,0,NA,NA,,,,,0,NA,NA,,,
53,Cer 40:2;2,Cer,,,,0.699602008,1.239030004,0.969316006,6.794129848,5.776470184,3.916990042,2.180330038,2.731729984,4.319290161,4.286490043,2.1,0.05,1.136540055,1.050830007,,,3.338500023,1.841956695,0.9,0.44,,5.706729889,0.64427501,0.919282973,2.42342929,1.3,0.54,1.758100033,,
54,Cer 42:0;2,Cer,,,0.618471026,,1.362300038,0.990385532,3.951280117,6.719550133,3.566610098,2.189179897,1.415159941,2.340490103,3.363711715,1.8,0.15,0.590125024,1.900069952,3.739510059,0.970201015,1.364349961,1.712851202,0.8,0.48,0.693958998,3.665529966,0.870543003,,1.743343989,0.8,0.60,21.7548008,12.63630009,-0.8
175,DAG 18:2;0_19:0;0,DAG,,2.287169933,,1.588050008,,1.937609971,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,,0,Down,Down,,,
56,Cer 42:0;4,Cer,,,,,,0,,1.341549993,2.14835,,,,1.744949996,up,NA,,1.090070009,1.216210008,,,1.153140008,Up,Up,,,,,0,NA,NA,,,
215,HexCer 36:0;4,HexCer,20.19540024,1.655660033,1.424200058,6.784110069,10.90170002,8.192214084,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,5.999300003,,4.089829922,,5.044564962,-0.7,0.61,,,
58,Cer 42:1;3,Cer,5.584939957,2.383019924,1.354290009,2.657429934,3.892940044,3.174523973,8.934929848,8.403770447,3.83555007,3.230269909,3.962949991,4.549409866,5.486146688,0.8,0.11,1.950340033,2.189450026,2.19498992,0.959892988,1.897279978,1.838390589,-0.8,0.12,1.428110003,4.397759914,1.307070017,0.919573009,2.013128236,-0.7,0.32,3.257369995,0.869597971,-1.9
59,Cer 42:1;4,Cer,,,,,,0,,1.797940016,,,0.955416977,1.006600022,1.253319005,up,Up,,,1.823789954,,,1.823789954,Up,Up,,,,,0,NA,NA,,,
373,PC 15:0;0_18:1;0,PC,,,1.344130039,2.33878994,,1.84145999,,,,,,,0,Disappear,Down,,,,,,0,Down,Down,,,,,0,Down,Down,,,
