Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
SGalCer 34:0;3 (SGalCer),0,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,19.2075,0,0,0,0,16.0426,0,0,19.2075,26.2075,27,34,0,0,0,0,0,0,34,0,0,41,0,0,0,0
SGalCer 36:3;3 (SGalCer),0,41,27,0,41,47,114.9889,155.9916,27,33.9911,7,68,27,34,68,115,0,26.9997,27,27,6.9943,0,47,54,230,37.8365,41,74,74,95,81,68,0,0,0,34,0,27,27,47,27,20
SGalCer 38:0;4 (SGalCer),0,8.5993,7.9752,0,76.7891,89.8859,94.9579,57.1869,10.6447,23.8677,0,15.5737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4775,30.7998,67.292,44.9324,0,57.4418,17.9159,53.9391,0,0,0,0
SGalCer 40:4;3 (SGalCer),0,0,22.0288,0,0,0,4.991,0,44.5101,7.8139,15.0017,0,6.0307,0,0,0,41.3779,37.8738,0,0,0,28.3931,115.6489,60.6276,0,0,0,46.8197,0,0,0,0,0,0,33.6487,0,0,0,36.6714,0,0,0
SGalCer 34:2;3 (SGalCer),0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 34:2;3 (SGalCer),0,0,12.5133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
SGalCer 34:1;3 (SGalCer),0,0,14.6858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 36:1;3 (SGalCer),0,0,0,0,0,0,0,0.2196,9.008,0,0,0,0,0,0,0,0,86.7362,20.7467,0,0,34.7917,0,9.1628,0,15.3312,0,1.0716,0,0,0,0,12.1814,0,0,17.5069,11.7551,0,24.99,0,0,15.8616
SGalCer 38:4;2 (SGalCer),0,0,94.4651,0,269.758,161.2416,148.7673,163.9377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0621,0,0,167.5446,0,0,0,0,208.0064,182.8614,148.6662,182.6867,178.0229,0,0,0,0,0,0,0
SGalCer 38:1;3 (SGalCer),0,0,19.4413,0,0,0,0,0,0,0,0,0,0,0,6.0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8124,0,0,0,0,0,0,0,0,0
SGalCer 40:4;2 (SGalCer),0,0,376.8569,0,0,0,268.1931,263.9783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.7827,0,0,320.4185,0,0,0,0,183.1139,173.1628,164.9342,128.9735,249.4625,0,270.4236,227.3032,0,0,0,0
SGalCer 40:3;3 (SGalCer),0,0,12.5741,61.7015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.993,0,0,44.2641,0,0,0,0,0,26.2697,36.1184,36.8383,14.6134,0,0,0,30.3986,0,0,0
SGalCer 40:2;3 (SGalCer),0,0,96.7711,77.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.4276,0,0,0,0,30.4356,45.9973,0,0,55.3721,0,0,0,53.589,122.1023,0,0
SGalCer 42:2;2 (SGalCer),0,0,0,0,0,0,0,0,47.3743,0,0,0,745.679,333.7375,1026.6413,632.7462,765.8976,617.2145,1081.9691,816.8063,980.7121,1547.0051,362.0714,1069.7541,404.9183,276.316,232.0951,0,0,0,0,41.2697,0,0,611.9855,0,0,0,783.242,1524.7775,578.2373,763.2244
SGalCer 40:0;4 (SGalCer),0,0,90.3858,63.2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5463,0,0,0,0,0,0,0
SGalCer 44:3;2 (SGalCer),0,0,781.0897,0,0,0,0,297.1088,0,0,0,0,0,0,957.1206,723.9018,0,0,0,0,0,1094.3947,816.3047,0,0,645.5019,0,0,0,0,579.8348,575.773,549.4976,399.2802,739.8576,0,411.5504,602.2797,0,0,0,0
SGalCer 32:3;2 (SGalCer),0,0,0,11.3755,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,6.5429,6.2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 34:1;3 (SGalCer),0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3998,0,0,0,0,0,0,0,0,0
SGalCer 34:0;4 (SGalCer),0,0,0,14.3832,0,0,22.7741,17.2133,0,18.2003,0,0,0,0,0,0,0,0.5928,0,0,11.6837,15.0987,0,0,0,24.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 36:3;3 (SGalCer),0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,47,47,0,27,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
SGalCer 38:4;3 (SGalCer),0,0,0,36.7268,0,0.0582,0.6653,0,0,0,0,4.8174,0,13.6653,2.6712,16.55,0,29.4674,0,0,0,3.8136,11.4977,0,0,0,0,0,0,0,4.7819,0,0,0,0,0,4.6743,0,0,0,0,0
SGalCer 38:0;3 (SGalCer),0,0,0,5.0353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 32:1;4 (SGalCer),0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGalCer 40:0;2 (SGalCer),0,0,0,0,64.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.7082,0,0,0,0,0,13.4515,0,0,0,0,0,0,34.2873,0,0,0,102.1205,0,0
