Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
SM 42:0;2 (SM),84.8022,114,39.1294,65.209,36.9587,53.1169,23.7014,32.0537,101.995,61.8551,79.3649,76.7178,55.2636,50.9964,64.8763,58.3088,61.5334,50.5837,68.5051,107.4181,97.3518,87.8176,66.1621,96.5237,65.2186,103.0119,91.6961,60.9078,0,0,61.7457,7.7849,45.3656,46.874,33.3113,0,31.209,0,107.0038,70.781,106.6823,75.3005
SM 42:0;3 (SM),0,45.3583,28.6906,26.2252,39.9238,41.5761,19.5498,36.5611,39.4872,61.8653,18.1373,26.6853,41.7237,9.8531,48.7694,0,65.2143,6.5177,0,48.1327,9.9396,38.8861,107.27,41.3827,73.3824,40.4169,0,41.2466,0,0,27.6737,30.3294,13.6692,0,14.4131,19.7536,0,34.7801,38.765,90.2257,0,35.762
SM 42:0;4 (SM),322.2428,235.1853,500.1284,558.6938,240.238,270.7485,464.5982,314.0078,519.9013,221.2351,558.8671,343.7161,357.5398,161.6275,337.5635,273.2927,327.2573,188.7592,323.2633,341.3717,495.8257,613.8904,577.3576,578.8803,413.6063,580.6229,660.4495,495.0618,0,0,337.1588,336.3803,277.6323,492.4783,136.1982,547.2471,583.1249,465.8049,548.9251,520.3738,575.4432,539.6535
SM 42:1;3 (SM),0,0,38.0995,0,22.5421,22.6775,21.6713,0,33.0072,0,18.1841,28.3421,0,0,0,0,0,0,0,0,0,0,18.3867,0,0,25.0288,0,0,0,0,22.2464,0,36.3546,0,20.7116,0,5.0269,28.9659,0,0,0,0
SM 42:1;4 (SM),316.1455,371.2974,222.2267,221.5081,317.3232,164.2631,258.4788,427.3005,581.5461,305.948,357.8495,371.1751,252.209,149.1302,135.396,0,236.5542,217.3493,349.7307,310.8752,408.3168,421.9777,467.999,686.7214,573.2051,555.2308,540.4265,591.0591,0,0,240.4775,218.1012,66.2403,177.7709,584.8368,298.8679,479.8231,360.4365,346.6688,0,140.5939,189.3967
SM 42:2;2 (SM),179.4492,170.3434,316.6529,177.6649,331.9628,315.7618,257.778,208.4298,241.787,358.2671,311.1688,254.0056,334.007,202.5164,186.1485,229.2674,254.5835,202.2256,195.6632,196.9291,253.1799,184.4452,238.8539,187.201,225.8554,224.9491,278.5791,209.5778,0,0,307.5669,401.8424,273.4798,316.1826,322.2163,228.2523,226.0944,202.2971,264.0088,0,142.1889,163.5731
SM 42:2;3 (SM),0,0,17.4382,0,10.3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5075,0,0,0,0,0,0,0,0
SM 42:3;2 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM 42:3;3 (SM),12.8609,0,9.5529,32.6947,0,16.9747,0,0,20.7826,0,0,0,0,14.5533,18.0865,0,0,0,0,19.2583,0,0,0,0,31.941,12.6418,0.7109,9.7087,0,0,0,0.7337,0,0,31.5731,0,22.3126,21.6877,0,0,0,0
SM 42:4;2 (SM),32.0169,2.485,0,78.4132,0,0,0,24.024,0,38.2061,24.7579,5.9128,27.7158,26.7542,47.4047,15.2267,24.8788,5.4914,33.3362,5.6521,20.6125,24.3525,32.2893,0,6.8123,10.4694,58.1016,28.3376,0,0,34.4844,29.9514,22.8209,7.2072,71.8158,0,0,18.7086,43.893,15.5402,35.55,0
SM 42:4;3 (SM),0,29.0673,5.341,23.3023,30.4854,0,5.9294,12.7842,15.1863,38.1998,68.0464,10.5943,32.8053,0,9.0439,0,0,21.8476,31.0708,20.7931,7.977,0.7995,74.4794,3.6414,0,53.4795,101.3031,21.4741,0,0,0,26.6307,12.1852,0,115.9173,105.1133,150.7822,74.7118,7.8464,12.8326,87.5428,0
SM 44:0;2 (SM),538.4882,510.4887,518.504,395.673,479.0419,351.9168,345.2128,208.9341,475.8424,533.4338,450.4441,569.3046,326.7788,257.9663,205.5124,234.2477,241.3327,257.6983,337.541,337.5623,636.3686,596.4024,166.8094,581.7597,415.4323,384.7545,447.0044,382.2053,0,0,191.7941,247.5806,174.0124,303.0579,406.4204,205.9138,282.8345,215.7511,729.3036,516.0041,418.6176,536.6455
SM 44:0;3 (SM),124.1163,185.781,79.7565,180.4297,0,102.2956,73.3804,66.4591,124.9193,159.948,146.9858,103.4096,0,0,79.8632,0,60.3362,72.7988,94.1963,100.8069,142.8326,122.4858,82.031,159.4121,108.0257,101.8285,0,87.8445,0,0,76.4474,78.4365,57.0875,69.9272,163.8239,112.6166,97.6168,160.1436,161.2307,192.8065,107.8937,101.5839
SM 44:0;4 (SM),0,0,54.45,13.2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8538,0,0,0,0,4.9335,8.4517,0,0,168.6525,0,0,0,63.5513,0,0,0
SM 44:1;2 (SM),40.5291,65.919,119.7602,29.4111,48.8243,79.421,48.4707,34.3405,23.1733,87.8988,91.1699,99.9149,59.3542,73.0274,38.7704,15.4539,0,42.9579,36.2688,42.3084,28.1535,19.2714,38.6056,34.9253,59.5545,53.5969,70.996,29.2504,0,0,23.4033,79.4585,56.089,34.6537,14.7114,0,45.1748,25.8839,67.7558,74.0001,41.381,14.7859
SM 44:1;3 (SM),145.464,132.3978,249.4836,173.7108,144.3981,112.031,127.9223,42.6676,182.0106,195.3687,148.5733,170.4683,0,0,45.726,70.2023,56.282,125.5945,91.2386,154.5154,218.7159,243.6689,303.0269,163.4049,183.5676,150.2473,248.2532,173.8207,0,0,81.8595,91.2066,102.172,68.9232,21.8147,99.6199,92.2137,101.7609,217.5613,0,141.662,153.2655
SM 44:1;4 (SM),429.6808,467.0594,523.4853,460.5375,0,0,256.0118,0,311.2545,321.7311,228.9044,323.9828,0,0,238.9562,274.0999,0,0,334.0915,0,533.0986,542.6155,441.2656,587.435,598.8318,685.3443,621.6885,588.0484,0,0,181.8115,119.4663,144.1467,146.7722,1039.0527,798.6852,773.3316,859.9818,319.0602,362.9534,299.6062,514.8491
SM 44:2;2 (SM),0,0,0,0,62.6758,25.0116,38.1575,39.3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7492,0,0,23.3941,0,0,0,0,0,0,25.3207,25.3454,51.5109,0,0,0,0,0,0,0
SM 44:2;3 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1732,0,0,0,11.7209,0,0,0,0,0,0,0
SM 44:3;2 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1188,0,11.0485,19.517,0,0,0,0,0,0,0,0,30.6775,0,13.3316,38.6074,0,0,0,0
SM 44:3;3 (SM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2775,34.5562,12.3773,5.7225,0,0,0,0,0,0,0,0
SM 44:4;2 (SM),32.8429,36.0176,0.7675,61.0621,27.0926,37.8293,20.5805,35.7245,30.6889,18.9239,37.361,31.573,7.902,6.907,11.2673,37.5794,33.4525,41.0988,0,53.5139,64.5885,39.9783,80.8298,16.331,50.5667,0,33.1263,75.8698,0,0,24.5616,0,34.9036,13.0416,78.396,65.677,45.8011,44.9675,23.222,22.4546,0,44.0637
