Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"HexCer 32:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",29.1191,67.7105,78.8723,81,128,179.346,38.6262,49.5102,112.2084,142,68,74,68.4249,78.8406,104.0492,86.5459,108,54,164.5102,239.5555,61,41,59.8148,60.9904,55.4409,71.8478,68,67.495,0,0,26.9964,0,46.9877,39.5313,35.8383,59.9693,33.8826,33.7382,60.495,68,101,107.5643
HexCer 32:0;3 (LCB 18:0;2-H2O),40.9966,40.9968,26.6576,27,0,0,220.4097,235.5198,0,0,0,0,27,0,0,0,0,0,87.7856,92.0005,0,0,41,33.9734,0,0,0,0,0,0,0,0,0,0,54,87.9958,46.9977,33.9954,0,0,0,0
HexCer 34:0;2 (LCB 18:0;2-2H2O),331.2682,295.6337,286.3961,243,260.3965,279.7434,203,196,307.3298,310.7744,330.7475,329.8321,293.5123,366.2106,444.6665,403.5662,257,278.6909,241.8321,243,327.6643,361.3562,338.4925,302.4957,345.4672,226.4728,315.8321,304.2682,0,0,120.1949,82.7973,90.436,94.9679,111.1951,144.818,101,128,560.3482,489.3961,426,410.8321
HexCer 34:0;2 (LCB 18:0;2-H2O),90.9295,94.8082,100.6116,91.5385,114.9924,88,118.5036,162.5042,88,87.3782,88,68,107.9935,114.2332,448.5102,385,115,68,121.4051,118.925,68,61,80.4378,101,61,67.9912,74,54,0,14,0,0,27,0,97.3975,78.1678,85.5165,46.2297,115,135,115,148.5006
"HexCer 32:1;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",31.2612,0,26.9867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7614
HexCer 32:1;4 (LCB 18:0;2-H2O),23.6401,16.6525,0,0,0,0,27.6683,50.0078,0,0,0,0,0,0,0,0,0,0,10.302,13.3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9221,0,0,0,0,0,0,0
"HexCer 32:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",26.9847,0,40.9743,0,24.1082,0,69.7831,53.4496,22.7746,0,33.9757,46.734,0,12.6607,0,25.2496,0,0,73.545,88.5425,0,0,33.0014,29.759,19.3526,0,0,0,0,0,0,0,0,0,39.1677,0,74,40.4631,0,0,36.3748,26.9899
HexCer 34:1;3 (LCB 18:0;2-2H2O),27,0,0,0,0,0,0,0,26.9753,0,0,0,0,0,26.9698,0,0,0,0,0,0,0,0,0,35.8208,40.8164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 34:1;3 (LCB 18:0;2-H2O),12.7752,0,0,0,0,0,9.8203,22.4817,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"HexCer 34:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",80.6602,32.9349,115.8988,75.8988,99.7614,82.6241,119.0361,129.8988,115.4076,113.9349,116.6241,108,111.1536,118.3767,155.8447,139.542,75.8988,81,61.8988,95.8988,106.7614,116.6241,99.8663,154.8607,65.1649,19.9706,90.7975,95,0,0,47,45.7614,61,75.8988,34.6409,0,55.8988,52.7614,148.4297,115,128,101
HexCer 36:4;2 (LCB 18:0;2-H2O),49.0558,25.7614,0,27,0,0,36.1798,49.6063,0,0,0,0,0,0,0,0,0,0,37.8461,34.2451,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,25.2652,0,0,0,0,0,0
HexCer 36:0;2 (LCB 18:0;2-2H2O),25.711,32.7898,63.0138,32.4476,0,0,0,0,48.7442,27.1637,39.8961,13.4512,28.6519,37.3509,23.3123,36.6996,25.7373,0,0,0,27.0876,32.5562,27.8228,15.5361,0,0,0,0,0,0,0,0,33.1663,0,0,0,0,0,45.7942,53.475,39.8758,18.208
HexCer 36:0;2 (LCB 18:0;2-H2O),52.8941,37.2763,25.592,33.4083,0,0,63.0683,55.3582,0,40.7628,0,0,26.0775,0,73.9445,67.7294,0,0,24.5725,31.2317,0,0,0,0,0,0,0,26.9267,0,0,0,0,0,0,33.5162,38.2286,45.6429,33.5139,0,0,0,0
HexCer 34:0;4 (LCB 18:0;2-H2O),52.8145,33.1113,26.4197,0,0,0,55.087,40.3332,0,0,0,0,0,0,0,0,0,0,33.3995,33.2427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2186,40.2489,0,0,0,0
"HexCer 36:4;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",27,27,46.0257,0,61,81,27,47,34,0,34,61,0,34,34,0,34,34,0,27,34,0,0,41,27,0,0,47,0,0,34,41,54,68,0,34,0,47,0,54,34,27
HexCer 36:4;3 (LCB 18:0;2-2H2O),20.3927,0,0,0,0,0,0,0,0,32.6651,0,0,0,42.4789,29.1269,16.9605,0,0,0,0,0,0,27.919,0,40.9881,26.141,0,0,0,0,22.1983,4.2554,0,0,23.8488,41.3096,0,0,0,0,0,0
HexCer 38:3;2 (LCB 18:0;2-2H2O),502.717,391.5282,545.7981,486.912,205.4069,387.2973,300.7262,257.4659,253.1492,269.4883,283.5395,330.5154,239.8133,363.7162,221.946,351.7132,270.5867,241.678,221.5287,205.3509,365.3097,273.7315,236.9879,195.021,241.0297,201.4104,230.2576,234.7572,0,0,318.9977,289.6189,392.2269,355.4959,448.7243,343.7215,417.3714,421.0768,364.8273,333.2841,349.9965,317.9167
"HexCer 38:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",41,34,34,7,51.5802,0,0,0,42.7816,42.3864,0,0,37.2845,56.3057,56.7806,44.5545,0,0,0,0,27,0,29.7805,38.577,81.1683,104.9708,0,27,0,0,34,0,27,0,59.2216,85.2997,0,0,0,0,0,0
HexCer 38:3;2 (LCB 18:0;2-H2O),69.1992,70.8069,107.9584,66.1809,61.6855,91.1578,57.3711,94.3555,74.8569,40.2328,17.8936,64.098,72.8103,20.9731,34.6887,38.4775,25.0437,46.5532,64.7387,72.0767,66.1017,47.0378,53.2706,69.9143,41.327,0,35.9365,48.1546,0,0,45.2855,80.971,48.8709,46.7061,66.2914,76.0989,105.1486,98.2712,53.5357,75.0814,34.2043,91.0438
HexCer 38:2;2 (LCB 18:0;2-H2O),6.7024,16.074,0,13.1682,0,0,0,0,29.7381,9.1922,0,0,0,0,11.8196,0,0,0,0,0,0,0,0,9.8174,0,0,0,0,0,0,0,0,0,0,0,19.2277,7.2044,0,0,0,0,0
"HexCer 38:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",26.0257,0,33.1921,0,0,0,30.9158,34,0,25.9928,0,0,38.3061,57.9513,86.5836,45.2478,0,0,22.7702,0,0,0,0,0,0,24.6674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 38:1;2 (LCB 18:0;2-H2O),17.3205,29.3826,0,0,31.6825,29.9645,50.249,14.3385,0,45.3636,0,0,0,0,37.7888,32.6182,0,0,63.934,82.4557,0,0,0,34.6881,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2263,32.6892,25.1493,0,23.5543
HexCer 36:1;4 (LCB 18:0;2-2H2O),27,0,0,7,0,19.3978,0,0,34,0,0,0,19.2271,34,0,0,0,0,0,0,0,0,0,0,28.2284,67.6485,0,0,0,0,0,0,27,0,53.7281,34,27,0,0,0,0,0
"HexCer 36:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",23.3449,11.3925,20.1645,0,0,0,0,0,0,41.399,25.7574,0,4.8794,40.1311,53.8205,0,0,29,0,0,0,0,33.9149,39.1709,53.7779,0,0,36,0,7,0,25.5352,14,65,25.3846,46.3616,7,0,0,0,0,0
HexCer 36:0;4 (LCB 18:0;2-H2O),34.2744,0,0,34.5092,0,0,15.3491,31.7986,0,0,0,0,0,0,0,0,0,0,25.5438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6015,31.4747,1.3035,0,0,0,0
"HexCer 38:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,27,27,0
"HexCer 38:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",13.9817,0,27,27,0,33.4973,0,0,46.9912,60.1478,0,0,61,74,53.9878,60.9934,26.3204,0,0,0,0,0,27,34,81,87.9055,0,0,0,0,26.9864,0,0,0,61,68,0,0,0,0,0,0
"HexCer 40:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexCer 40:3;2 (LCB 18:0;2-H2O),32.9077,19.6231,0,0,0,0,38.0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5318,0,0,0,0,0
"HexCer 40:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",142,115,95,81,188.8388,242.8388,114.0645,161.8388,84.7684,105.1408,96.0892,178.5162,95,94.0645,108.0645,108,74,115,81,81,158.4517,169,189.0645,189.0645,162,135,124.4517,169,0,0,41,7,41,6.0645,0,0,0,0,56.5162,61,41,0
HexCer 38:0;4 (LCB 18:0;2-H2O),34,0,0,0,0,0,34.7005,38.0475,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HexCer 42:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",5.8388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3695,0,0,0,0,0,0,0,0,0,0,0,3.9611,0,0,0,0,0,0
HexCer 42:4;2 (LCB 18:0;2-H2O),27,27,0,0,0,0,1.9335,50.5331,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0461,0,0,0,0,0
"HexCer 42:3;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",34,0,27,0,54,54,27,47,27,41,0,41,27,0,0,0,0,0,0,0,0,0,34,34,34,41,27,27,0,0,27,0,27,27,0,0,0,0,0,0,0,0
