Sample Name,CAS9,CAV,CAVIN
SM 38:2;3 (LCB 18:0;2-2H2O),0.0,1.0,0.0
"SM 40:4;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.0,0.0
"SM 30:2;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,1.0,1.0
"SM 30:2;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.6572800739506006,1.5437922422525547
SM 32:0;2 (LCB 18:0;2-H2O),0.0,1.0,0.0
SM 32:0;2 (SM),0.0,1.7271705437958542,2.969116828279631
SM 32:2;3 (LCB 18:0;2-H2O),0.0,1.4749259715709364,0.0
SM 32:0;3 (LCB 18:0;2-H2O),0.0,1.0,0.0
SM 34:2;2 (LCB 18:0;2-H2O),0.0,1.0000000000000002,0.0
SM 34:0;2 (LCB 18:0;2-H2O),0.0,1.0856338611726293,0.0
SM 34:1;3 (LCB 18:0;2-H2O),0.0,1.0160891357099668,0.0
SM 34:0;3 (LCB 18:0;2-H2O),0.0,1.3494622529749531,0.0
SM 36:1;2 (LCB 18:0;2-H2O),0.0,1.0,0.0
SM 36:0;2 (LCB 18:0;2-H2O),0.0,1.6433953218185204,0.0
SM 38:0;2 (LCB 18:0;2-H2O),0.0,1.0,0.0
SM 38:4;3 (LCB 18:0;2-H2O),0.0,1.3798078353526457,0.0
SM 40:4;2 (LCB 18:0;2-H2O),0.0,1.6520853793454358,0.0
"SM 40:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,1.0,0.0
SM 40:0;2 (LCB 18:0;2-H2O),0.0,1.6199316046120138,0.0
SM 38:0;4 (LCB 18:0;2-H2O),0.0,1.0,0.0
SM 40:4;3 (LCB 18:0;2-H2O),0.0,1.4690817443127335,0.0
"SM 40:3;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,1.7209013919398257,0.0
SM 42:1;3 (LCB 18:0;2-H2O),0.0,1.0,0.0
"SM 32:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,1.0,1.0
SM 38:2;2 (LCB 18:0;2-H2O),0.0,0.9999999999999999,1.0
SM 42:4;2 (LCB 18:0;2-H2O),0.0,1.0,0.0
SM 42:0;4 (SM),0.0,1.0,1.4484111679382978
SM 34:0;2 (LCB 18:0;2-2H2O),0.0,0.0,1.0000000000000002
"SM 38:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,1.685557327489578
SM 38:0;2 (LCB 17:0;2-2H2O),0.0,0.0,1.0
"SM 38:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,1.0
"SM 40:3;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,2.224489379984507
"SM 38:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,1.0
SM 40:4;3 (SM),0.0,0.0,1.6858542548913489
SM 42:1;2 (LCB 17:0;2-2H2O),0.0,0.0,1.0
"SM 42:1;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,1.0000000000000002
SM 32:4;3 (LCB 18:0;2-2H2O),0.0,0.0,1.6351517906023114
"SM 36:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,1.0
SM 40:0;4 (LCB 18:0;2-2H2O),0.0,0.0,1.7221149645711729
SM 44:4;2 (LCB 18:0;2-2H2O),0.0,0.0,1.0
"SM 42:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,1.0
"SM 42:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,1.0
SM 36:1;2 (LCB 18:0;2-2H2O),0.0,0.0,1.6801039717053128
SM 36:0;2 (LCB 18:0;2-2H2O),0.0,0.0,1.0
"SM 38:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,1.0
SM 38:0;4 (SM),0.0,0.0,1.0
"SM 40:2;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,1.0
SM 42:1;3 (LCB 18:0;2-2H2O),0.0,0.0,1.0
SM 38:1;2 (LCB 18:0;2-2H2O),0.0,0.0,1.0
"SM 32:4;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
SM 34:2;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 36:0;2 (LCB 17:0;2-2H2O),0.0,0.0,0.0
"SM 36:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
SM 36:1;4 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 38:4;3 (SM),0.0,0.0,0.0
SM 38:1;3 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 38:1;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
SM 32:1;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 34:2;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
"SM 40:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
"SM 42:2;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
"SM 30:2;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.0,0.0
"SM 36:2;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
SM 36:2;2 (SM),0.0,0.0,0.0
SM 40:4;3 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 40:4;3 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 42:2;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 28:4;2 (SM),0.0,0.0,0.0
SM 34:2;3 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 36:2;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 40:4;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 40:2;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
"SM 42:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
SM 36:0;3 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 38:4;3 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 34:2;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 30:3;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.0,0.0
SM 38:3;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 26:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
SM 42:4;3 (SM),0.0,0.0,0.0
SM 42:4;2 (SM),0.0,0.0,0.0
SM 32:1;2 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 34:0;2 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 36:1;2 (LCB 17:0;2-2H2O),0.0,0.0,0.0
"SM 40:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
SM 32:4;3 (LCB 18:0;2-H2O),0.0,0.0,0.0
SM 32:3;3 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 32:2;3 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 40:1;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 40:3;3 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 40:2;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
"SM 42:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
"SM 34:2;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
SM 34:0;3 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 34:0;3 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 38:3;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 36:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
SM 38:1;3 (LCB 18:0;2-H2O),0.0,0.0,0.0
"SM 40:2;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.0,0.0
SM 40:2;3 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 26:0;4 (LCB 18:0;2-H2O),0.0,0.0,0.0
"SM 34:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
"SM 32:2;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
SM 40:4;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 32:3;3 (LCB 18:0;2-H2O),0.0,0.0,0.0
"SM 34:2;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
SM 32:1;4 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 36:0;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 40:0;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
SM 42:4;2 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 42:0;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0.0,0.0,0.0
SM 28:4;2 (LCB 17:0;2-2H2O),0.0,0.0,0.0
SM 42:0;4 (LCB 18:0;2-2H2O),0.0,0.0,0.0
"SM 32:3;4 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0.0,0.0,0.0
"SM 42:4;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
"SM 46:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0
