feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,aag2-C1,aag2-C2,aag2-C3,aag2-V1,aag2-V2,aag2-V3,BHK-C1,BHK-C2,BHK-C3,BHK-V1,BHK-V2,BHK-V3,C636-C1,C636-C2,C636-C3,C636-V1,C636-V2,C636-V3,GPMV-C1,GPMV-C2,GPMV-C3,GPMV-C4,GPMV-V1,GPMV-V2,GPMV-V3,GPMV-V4,U2OS-C1,U2OS-C2,U2OS-C3,U2OS-V1,U2OS-V2,U2OS-V3
,,,,,,,shortname,aag2C1,aag2C2,aag2C3,aag2V1,aag2V2,aag2V3,BHKC1,BHKC2,BHKC3,BHKV1,BHKV2,BHKV3,C636C1,C636C2,C636C3,C636V1,C636V2,C636V3,GPMVC1,GPMVC2,GPMVC3,GPMVC4,GPMVV1,GPMVV2,GPMVV3,GPMVV4,U2OSC1,U2OSC2,U2OSC3,U2OSV1,U2OSV2,U2OSV3
,,,,,,,cohort,Aagcontrol,Aagcontrol,Aagcontrol,Aagvirus,Aagvirus,Aagvirus,BHK21control,BHK21control,BHK21control,BHK21virus,BHK21virus,BHK21virus,C636control,C636control,C636control,C636virus,C636virus,C636virus,GPMVcontrol,GPMVcontrol,GPMVcontrol,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,GPMVvirus,U2OScontrol,U2OScontrol,U2OScontrol,U2OSvirus,U2OSvirus,U2OSvirus
Cer 34:1;3,Cer,SL,MEM,34,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00164599586556031,0.00198083256975429,NA,NA,0.00212021365788654,0.00180269664144216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 34:2;2,Cer,SL,MEM,34,2,2,,0.00569237632708655,0.00705992495465827,0.0154786723720961,0.00510825459554436,0.00648640378334735,0.014680175647018,0.0213410925141457,0.0222461825270041,0.0280045107209759,0.0273533638077357,0.0228478376823543,0.0264803350457285,0.024149803680006,0.0321847860074374,0.0254287561888886,0.0280169397263912,0.039808558622686,0.035370845975957,NA,0.00504541325443288,NA,NA,NA,0.0107639602500518,0.00969508290220585,0.00927373471598181,0.0185021820933789,0.0160579531746531,0.0160945361165869,0.0186061332878996,0.0152014895861626,0.0154586260688218
Cer 34:2;3,Cer,SL,MEM,34,2,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000983055456794056,0.00140022391713173,0.00141566691618733,0.0013020843068547,0.00160830476379582,0.00184896532099851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 36:0;2,Cer,SL,MEM,36,0,2,,0.00195609106765224,0.00255984845816436,0.00357322672306335,0.00213545293790958,0.00211398566673774,0.00308353378695412,NA,NA,NA,NA,NA,NA,0.0459793118732196,0.0385891144035281,0.0338569086917562,0.0581845394455901,0.0412321722747872,0.0408310687487333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 36:1;2,Cer,SL,MEM,36,1,2,,0.0440956701189338,0.0471766174757048,0.0729120392246754,0.0459866544545764,0.050882970499042,0.0698199700938903,NA,NA,0.0123287106339169,NA,NA,0.010774867349204,0.411330600349421,0.357797611952863,0.438705569490361,0.511132400036014,0.417846869506508,0.57700393632045,NA,NA,NA,NA,NA,0.00918127324189004,NA,NA,0.0102717387824256,0.0103881607410859,0.00833722282920215,0.0102695149964422,0.0111207606666111,0.00735743703907277
Cer 36:2;2,Cer,SL,MEM,36,2,2,,0.0175594892806703,0.0212518592312985,0.0593759513026618,0.0190354522561612,0.0232411052321856,0.0551236460345468,0.00141685426111384,0.00125444965225538,0.00345233812752853,0.00147459668567953,0.00143770970486082,0.00274301977006367,0.0440585815247025,0.0528264161210517,0.0597728147755807,0.0530199004995948,0.0642404465989919,0.0789063623482244,NA,NA,NA,NA,NA,NA,NA,NA,0.00471926440069032,0.00471409738078564,0.00335043561494217,0.00473320010002102,0.00493403789886342,0.00305523793818432
Cer 36:2;3,Cer,SL,MEM,36,2,3,,NA,0.00102731214076354,0.00204617840327416,NA,NA,0.00177203579053457,NA,NA,NA,NA,NA,NA,0.00130442058805158,0.00198026182316312,0.00239321842485297,0.00212755607604686,0.00283684948874826,0.00266008448020699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 36:2;4,Cer,SL,MEM,36,2,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00103242803576807,NA,NA,0.000953158137875406,0.000799409634810465,0.00140567563027407,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00449545392099906,NA,NA,NA,NA
Cer 38:0;2,Cer,SL,MEM,38,0,2,,0.00416312207313013,0.0045881901825139,0.00720324783198137,0.00391999466376509,0.0039013782178823,0.00634647456458473,NA,NA,0.00108990709397923,NA,NA,0.00109769388576878,0.0144071601485886,0.0139837991628136,0.0144720156358755,0.0175403072125052,0.0123130742301878,0.016277713782853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 38:0;4,Cer,SL,MEM,38,0,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00147640990285515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
