Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PC 30:0+HCOO (LPC pe),33.621,16.0974,8.3141,2.662,0,0,4.3446,6.1358,0.7101,25.2838,32.5121,23.2727,0,22.6946,12.941,15.6509,15.3705,42.7985,20.6391,0.8419,19.7869,39.0699,24.4643,3.0162,27.6397,9.9405,12.4639,27.9075,0,0,0,0,11.5518,8.4086,26.218,8.6927,3.0304,0,52.1966,1.5667,20.6532,10.0644
PC O-32:6+HCOO (FA 12:1),12.9954,4.5945,2.8881,0,8,0,0,9.5027,4.4044,0,0,0,0,0,0,0,0,4.8331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,7.6302,8.8907
PC O-32:6+HCOO (FA 20:5),77.4941,67.449,31.3221,0,0,0,0,39.6748,13.1579,0,0,0,0,0,82.6023,0,0,7.1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4277,0,0,0,31.4521,58.4975
PC O-32:6+HCOO (LPC pe),17.5847,34.2307,22.6443,33.7175,6.6227,0,32.9651,22.8551,40.1998,29.7248,19.7677,29.0313,57.7216,50.227,43.6327,27.3154,33.8148,37.5502,49.9469,48.9098,31.5322,11.0551,16.6087,49.5988,25.3087,21.9321,30.2071,12.8147,0,0,4.1133,7.9602,0,0,45.5536,19.6139,30.5574,30.4767,0,26.6497,23.6392,22.0309
PC O-32:6+HCOO (FA 20:5),25.6724,33.2284,5.4017,0,8.7028,0,0,59.7614,0,0,0,0,0,0,29.3763,0,0,27.2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7465,0,0,0,24.7885,14.3174
PC O-32:6+HCOO (LPC pe),25.8936,0,6.9754,14.1805,16.8657,0,0,0,3.2156,0,0,0,1.0852,0,10.4053,0,14.6917,0,0,0,0,13.3036,9.0873,17.1924,2.903,21.0926,0,22.2135,0,0,0,0,13.6112,0,0,13.1408,0,3.987,15.6469,0,0,0
PC O-32:5+HCOO (LPC pe),22.5415,3.9449,21.1087,0,0,0,0,0,0,16.374,0,0,0,0,0,0,0,0,22.2409,3.9174,16.0606,16.4691,14.9197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5707,0,0,0
PC O-32:2+HCOO (FA 14:1),22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,27,23
PC O-32:2+HCOO (FA 16:1),558.548,419.5648,509.3716,551.8492,720.4567,684.5224,597.5185,0,818.8535,638.6974,566.3273,666.8573,461.5345,325.5915,641.6784,545.29,565.812,0,752.4151,740.1707,824.0131,753.8627,805.7016,852.8891,724.555,625.8625,695.9647,607.5594,104.9201,79,198.5958,235.7394,231.8146,306.1366,231.5565,0,315.6731,227.2385,969.2848,782.1694,872.7672,0
PC O-32:2+HCOO (FA 18:1),1380.3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892.5196,1860.3433,1851.3783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171.6881,1734.5283,1966.1631,1748.4241
PC O-32:2+HCOO (LPC pe),410.1184,547.875,577.1797,429.5184,403.7208,380.1626,291.3309,364.6752,469.5873,439.9284,444.4892,409.7736,640.8015,483.0369,628.7903,598.1914,486.0779,555.8162,651.2878,616.7186,642.2313,700.6722,640.427,662.2967,526.124,434.8626,362.2013,421.1421,0,0,242.9032,180.1292,278.7274,289.6837,379.5962,0,340.9663,292.9392,513.7027,698.1484,426.5407,579.624
PC 32:8+HCOO (LPC pe),7106.2444,6101.9261,6484.0428,5190.7183,5804.7576,5254.2211,3598.1856,4221.3927,7351.7276,7430.8346,7615.3316,7600.0001,8713.5627,7419.3461,8658.2703,8422.2777,7641.7861,7203.5878,10274.354,9329.6385,9905.0129,9338.874,9490.9339,9626.451,6362.4818,6453.594,5239.6558,5635.501,30,23,2971.6392,3117.1402,3579.8828,3358.881,4670.8171,5107.3269,4115.3753,4364.4192,8599.2635,7964.7637,7471.8064,7243.878
PC O-32:1+HCOO (FA 14:1),32.654,42,0,39,0,0,0,0,28,23,37,27,84,54,69,52,62.654,77,104,106,48,62.6226,0,42.654,96,90.5282,0,54,0,0,0,22,0,27,23,32,33,0,91.654,47.9181,22.0754,57.1383
PC O-32:1+HCOO (FA 14:0),644.4778,649.6657,528.8048,618.7049,608.698,537.3177,370.3395,444.0457,834.2076,758.6336,770.8512,642.2971,836.2901,596.1837,858.9798,832.8274,1191.0738,1238.8772,1399.8055,1479.5498,1111.2873,1033.6645,1053.5983,1093.5669,1047.073,1037.5054,958.6561,902.516,0,0,621.1861,629.344,721.9942,730.3851,419.7966,377.9621,359.4149,365.9181,1205.4087,1062.3535,991.5275,1001.966
PC O-32:1+HCOO (FA 15:0),80.0435,0,105.9787,71.2487,0,0,39.9717,0,60.7701,0,0,0,36.9679,0,0,0,0,39.9751,38.9624,49.9616,85.9705,0,85.9613,0,0,33.3339,0,0,0,0,0,0,0,0,48.912,44.9783,0,0,0,0,0,0
PC O-32:1+HCOO (FA 16:1),1185.9056,1012.6392,944.1221,1231.2151,1028.2149,922.7333,577.7557,594.8479,1284.2238,1374.7727,0,1203.6781,1402.983,1126.5398,1416.9324,1294.6211,1912.4507,1893.1585,2300.1575,2308.4387,1863.7953,1742.3644,1886.4856,1744.5401,1745.9079,0,1438.7195,0,0,0,804.6635,808.4252,937.7788,1038.0773,705.9935,632.6413,489.2097,589.3332,1879.522,1723.4911,1560.409,1767.5726
PC O-32:1+HCOO (FA 16:0),591.3276,435.4456,395.7124,581.7281,808.7521,783.7855,0,880.139,1001.5203,940.4034,785.4231,0,690.4512,604.129,822.5763,0,778.4448,791.3577,888.2339,999.1732,875.3088,885.7255,836.5691,771.8294,588.5742,584.0208,510.1024,560.7905,0,7.0421,488.9861,359.9523,516.4144,707.2575,566.6752,418.7681,418.8435,377.0311,0,341.7813,0,475.8852
PC O-32:1+HCOO (FA 17:1),15.6297,0,40.9062,25.5941,0,0,4.3117,0,18.9439,0,0,0,10.59,0,0,0,0,4.3319,29.2894,26.2054,11.6885,15.9715,15.9752,0,0,6.2011,0,0,0,0,0,0,0,0,13.0853,16.5013,0,0,0,0,0,0
PC O-32:1+HCOO (FA 18:1),128.6253,200.5736,198.4853,269.9503,40.5171,62.4889,60.7772,54.6086,158.7822,177.0349,139.434,134.566,0,224.5056,248.1681,299.2657,240.9559,195.596,278.8717,254.2892,252.7231,300.7522,268.3291,346.4642,0,178.9918,239.6652,188.6326,0,0,91.6531,108.3078,0,76.5672,108.3177,64.4469,64.9333,109.9042,223.6286,270.8035,203.5761,241.4631
PC O-32:1+HCOO (FA 18:0),134.2498,121.0303,260.4163,252.0453,0,0,0,0,345.426,364.8851,386.8548,308.9967,109.8678,86.0774,164.3166,146.2474,0,125.8339,120.613,0,140.8907,93.5259,80.6106,105.3013,93.055,54.8411,95.2082,93.2039,0,0,0,300.5689,0,517.1728,119.1964,85.9883,92.2795,0,43.1353,0,72.4482,97.1545
PC O-32:1+HCOO (LPC pe),37,32,16.6357,26.0875,27,0,25,18.5823,45,40,38,32,28,22,45,0,52,50,71,66.8742,42,57,39,47,59,64.7333,37,32,0,0,32,24,28,32,27,22,0,29,34,75,35,44
