Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
PS 34:8 (PS),61.732,77.1324,44.6586,36.3106,11.6419,31.5255,33.5488,22.3387,9.0265,28.5769,28.7232,34.9264,43.5811,26.7507,32.2776,38.3249,37.5188,61.6315,48.2827,26.7815,54.0354,83.8727,92.159,48.9715,45.6057,20.285,55.2789,45.8421,0,0,12.8522,12.871,0,0,15.7491,21.2669,1.3141,0,66.0484,75.8248,0,89.2743
PS O-34:1 (FA 17:1),30.9015,0,0,0,0,23,33,0,26.9394,23.4031,0,8.8405,0,0,17.2463,0,0,0,11.513,38.8851,15.5446,33.9831,13.7884,13.2518,24.9966,22.7483,20.8124,23.8568,0,0,0,0,0,35,0,0,0,0,26.1463,6.6835,0,0
PS O-34:1 (FA 17:0),41.445,0,0,0,0,59,54,0,69,45,0,39.6514,0,0,40.5482,0,37,22.1353,50,52,91,76,34.0643,65.7902,30,49,37.2386,27,0,0,0,0,0,43,0,0,0,0,52,29.2386,0,47
PS O-34:1 (-PS),22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS O-34:1 (PS),25.7406,14.174,48.0304,24.6865,29.9689,15.7994,13.2355,44.6011,47.0406,41.2545,33.912,50.6647,9.4031,9.9454,42.1155,23.5806,33.8541,7.8489,63.032,83.1169,53.7866,34.7774,48.9278,51.0982,23.6272,39.129,35.9869,22.55,0,0,12.4761,23.0251,29.8941,32.6858,11.0292,20.7663,48.6905,17.6654,32.3685,15.0264,0,23.7193
PS 34:7 (PS),159.924,156.2896,151.6152,154.355,100.8069,91.6349,77.7991,41.4234,124.8225,123.7341,55.7006,109.676,81.981,60.4682,110.6478,110.1009,107.7929,139.9124,133.981,141.6378,178.4569,162.7527,164.1336,132.308,136.8729,128.855,79.7762,96.0254,0,0,41.7637,28.9318,42.4788,51.3832,129.4194,122.3031,89.2775,88.8401,127.8633,0,127.9028,121.7987
PS O-34:0 (FA 14:0),244.8676,214.4802,232.1278,257.6846,156.1525,133.3379,111.0882,102.0719,0,200.1813,198.6701,0,0,0,140.599,101.3525,161.5687,0,210.0856,197.1179,250.3773,203.7859,195.7504,282.2523,228.4035,333.7316,228.0153,235.7764,0,0,152.667,150.2107,160.5023,189.4471,152.3008,175.3248,123.8858,117.8794,187.0524,0,175.186,186.6387
PS O-34:0 (FA 17:0),17.5784,0,0,0,55.0223,0,21.8361,13.3886,27.1239,18.3559,1.9264,23.8523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6869,14.7191,0,0,0,0,0,0,0,0
PS O-34:0 (FA 20:0),72.7435,92.7557,0,0,149.5953,98.525,0,0,76.3768,85.5953,59,63.525,83.7074,73.5953,112.5953,95.3138,0,131.437,0,0,137.3169,0,0,0,118,82.525,0,88.6129,0,0,60.6132,50,0,50,125.525,96,56.6393,121,0,61.3314,0,115
PS O-34:0 (PS),59.4481,6.8219,6.9607,7.4338,21.3379,15.9236,10.7359,50.8692,10.9154,4.5837,79.5768,0.6286,24.7083,23.7955,31.3733,28.4698,29.1305,12.2895,16.9771,20.3929,46.3505,28.7919,0,39.5767,0,2.3791,25.2937,9.0639,0,0,10.0092,9.232,11.0755,9.1294,33.7886,12.0675,20.0822,27.769,17.5692,0,17.0504,13.4271
PS 34:6 (FA 22:4),2491.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587.9451,0,0
PS 34:6 (FA 12:2),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
PS 34:6 (FA 22:4),28205.1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20873.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22018.4651,0,0
PS 34:6 (PS),25.0899,23.4679,15.8253,32.2703,15.1648,0,20.2429,8.8469,21.3063,17.4052,0,0,0,0.8605,0,0,3.595,20.3209,27.482,18.4661,19.4008,5.2027,24.8243,23.7971,12.6827,21.9577,11.1419,11.8947,0,0,0,0,13.3045,0,36.8427,0,0.4083,34.5446,11.9159,37.0429,25.6009,0
PS 34:5 (PS),13.6053,20.4606,17.345,0,18.3123,0,9.2463,0,5.3123,11.4285,19.0272,0,0,0,23.3183,22.4318,0,14.8642,0,0,16.9829,0,5.8028,20.5584,12.4511,16.4197,0,0,0,0,0,0,0,11.3273,0,39.2767,27.5854,0,25.5535,0,11.2113,0
PS 34:4 (FA 14:0),36.6529,19.6254,31.3035,0,37.2484,37.3258,46.3988,29.3369,54.0039,44.3808,26.9957,0,0,47.4744,72.0627,57.3454,63.7662,54.6967,87.2942,69.3824,61.0504,0,55.7624,61.9168,0,0,0,0,0,0,0,30.3801,41.8621,0,36.8938,0,0,70.9247,42.3728,0,0,25.437
PS 34:4 (FA 20:4),23.2891,11.3857,19.0338,0,33.9773,47.1456,74.9767,39.3594,32.4206,0,2.8503,0,0,3.4491,33.2979,5.6798,49.0545,56.005,20.2185,26.2801,26.5859,0,44.8478,75.7935,0,0,0,0,0,0,0,1.5827,5.051,0,110.8582,0,0,31.1923,12.1852,0,0,5.9464
PS 34:3 (FA 16:1),63.5963,0,0,0,0,0,84.1772,72.8212,0,0,70.8632,0,0,0,93.1343,113.5351,123.9665,111.8529,150.9758,99.6879,108.5,115.1642,121.9524,126.627,0,0,0,0,0,0,0,40.5043,61.9082,0,0,0,0,0,113.5838,0,92.7353,122.7828
PS 34:1 (FA 16:1),559.6214,420.1934,510.1863,551.7499,0,684.7533,597.1094,0,818.1292,638.2178,565.8349,666.8149,0,0,642.1263,544.9004,565.5337,535.5984,751.4122,739.4589,823.1327,753.6733,805.0347,853.1051,724.024,626.9564,696.5539,607.5986,104.9615,79,0,235.5168,0,306.1357,231.8674,0,316.5166,227.7919,968.1876,0,872.2989,787.6072
PS 34:1 (FA 18:1),1380.0779,1121.42,1470.7049,1838.807,1841.5759,1736.9752,0,1475.3429,1907.8651,1877.2084,1941.7062,1898.3969,991.3203,886.9095,1517.0942,1107.304,1385.3615,1581.4522,0,1868.2266,1794.2135,1885.9763,1871.8404,1845.0338,1719.226,1688.0697,1522.2388,1422.2527,258.0281,178.0028,815.3654,674.5661,874.8847,1107.8915,587.0729,0,752.432,615.7226,2177.6586,1744.699,1981.367,1750.6768
PS 34:1 (FA 18:0),1471.2297,1054.9974,1352.5898,1689.2597,1935.0923,1939.8809,1685.9882,1679.9609,1704.7101,1388.1945,1331.8204,1493.6763,973.1484,693.5222,0,870.7909,1229.7793,1300.495,1774.2025,1754.0214,1959.9862,0,0,2237.3963,1677.9187,0,1543.524,1369.8644,384.7857,240.8544,415.8095,384.1828,622.7019,526.7215,536.6904,0,676.9805,488.1789,2170.5971,1804.6853,1760.5191,1681.1244
PS 34:1 (-PS),228,145,192,228,377,421,262,275,382,351,329,385,174,143,267,181,219,252,338,287,312,334,269,326,275,270,196,311,101,54,143,110,159,231,84,0,108,82,321,275,278,287
PS 34:1 (PS),548.6457,312.2619,490.3388,484.3926,753.9818,804.0936,605.1342,573.5644,879.9334,666.9374,655.6263,671.8614,339.2892,258.3521,491.0089,341.3076,448.9632,484.3968,658.0862,822.3825,801.3556,730.3672,687.2591,932.8593,578.7973,676.556,541.2055,514.2028,160,88.9882,296.7825,252.6595,318.8664,341.5742,293.9834,0,264.4994,169.8935,828.2377,472.2,631.2416,645.1615
PS O-36:7 (FA 14:1),33.139,42,34,39,0,0,0,0,28,23,37,27,84,54,69,0,63.139,77,104,106,48,63.1516,71.6706,43.139,96,91.1895,89,54,0,0,0,22,0,27,23,32,33,0,92.139,48.7337,22.6706,57.6453
PS 34:0 (FA 17:0),4.3514,0,0,0,0.3633,0,0,0,0,0,0,9.1897,0,0,0,14.4843,0,0,0,0,0,0,0,0,8.7673,0,0,0,0,0,0,0,0,0,0,0,4.5308,0,0,0,0,0
PS 34:0 (FA 18:0),142.5974,126.9555,268.1571,261.8033,558.5963,573.465,566.6002,491.0118,355.2843,372.887,394.4425,317.5079,115.4989,90.0957,0,151.0808,172.0055,133.3638,0,150.475,152.2105,106.3155,91.6291,0,102.7014,0,104.1416,101.2324,0,44.1329,367.215,302.7656,383.8416,520.1971,117.2831,87.1013,96.0118,0,55.6517,114.496,82.4184,106.7659
PS O-36:7 (FA 22:6),116.4223,126.9776,78.9655,123.3442,0,0,0,0,361.1987,289.4714,283.9091,250.7876,272.5573,217.8009,335.8147,279.3337,273.1701,283.9503,378.9924,345.2076,309.7802,308.1294,292.8412,254.4174,186.2721,172.3973,174.1382,173.2246,0,0,0,120.3312,0,118.6366,159.7331,139.6919,119.0354,0,149.3054,137.855,121.1427,117.5824
PS 34:0 (-PS),32,45,49,37,91,104,67,62,54,57,52,52,32,0,0,30,38,27,50,45,45,60,50,47,37,48,32,47,0,7,37,47,49,37,0,0,25,0,35,32,39,30
