Sample Name,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_A,NegMSMSALL-CAS9_B,NegMSMSALL-CAS9_B,NegMSMSALL-CAV_A,NegMSMSALL-CAV_A,NegMSMSALL-CAV_B,NegMSMSALL-CAV_B,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_A,NegMSMSALL-CAVIN_B,NegMSMSALL-CAVIN_B,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_A,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-1g_B,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_A,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS2-mg_B,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_A,NegMSMSALL-CERS5_B,NegMSMSALL-CERS5_B,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_A,NegMSMSALL-Flot2_B,NegMSMSALL-Flot2_B,NegMSMSALL-RAJU-Blank,NegMSMSALL-RAJU-Blank,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_A,NegMSMSALL-SPTLC_B,NegMSMSALL-SPTLC_B,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_A,NegMSMSALL-UGCG_B,NegMSMSALL-UGCG_B,NegMSMSALL-WT_A,NegMSMSALL-WT_A,NegMSMSALL-WT_B,NegMSMSALL-WT_B
PA O-40:3 (FA 22:3),30.5106,28.6912,32,28,0,0,15,27,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5262
PA O-40:3 (PA),87.8191,90.7683,66.9737,76.9139,142.7902,139.8109,139.7524,97.9018,135.7763,146.3515,94.853,104.7243,107.2629,76.7745,147,129.8056,90.9299,80.2565,91.3385,98.8872,123,91.9294,130.6186,106.8064,78.9806,0,81.9964,108,0,0,112.6509,134.7369,112.6211,161.8527,137,150,101,99.2361,113.9258,92.9662,76.9486,86
PA 40:9 (FA 20:5),49.3303,35.2256,12.934,20.7232,0,25.7425,51.3696,68.6796,0,0,16.0308,16.7751,0,0,0,38.5771,12.2659,0,0,0,0,0,0.0363,23.5168,0,0,0,0,0,0,0,0,0,0,11.8588,0,16.5175,17.8618,0,0,8.0101,14.1114
PA 40:9 (PA),388.5583,363.3635,347.2287,359.358,637.112,491.573,496.5935,475.0891,556.5424,485.302,463.574,358.4585,466.4237,427.2119,400.0777,370.2737,399.503,462.9002,472.4443,520.6518,483.8201,505.6426,294.0395,515.2635,390.355,454,425.8818,419.1591,0,0,427.6856,364.0753,411.8432,418.7945,507.9704,422.6099,404.584,375.6077,417.2514,460.5119,463.3453,368.923
PA O-40:2 (FA 18:0),195.1947,214.6721,178.5553,175.803,152.1814,0,206.2795,171.8654,153.3787,242.6714,0,0,0,0,295.8641,265.008,0,242.6421,0,0,0,0,0,271.2872,0,0,0,0,0,0,0,0,0,0,152.1878,280.3931,221.3017,229.623,0,0,140.6918,150.3253
PA 40:9 (FA 20:5),144.9269,133.4594,85.4796,72.6789,56.0989,28.4877,187.4993,0,60.8878,48.7243,69.2334,58.5339,0,0,171.8879,148.8094,50.2737,46.5664,20.6775,35.6637,0,0,152.9435,66.4665,0,0,0,0,0,0,0,0,0,0,97.0782,127.4656,110.2739,135.097,0,0,95.2869,147.13
PA 40:9 (FA 20:4),157.0757,141.0383,109.8655,105.4828,84.7801,86.9526,172.902,146.4279,54.6599,65.8313,50.7774,21.216,0,0,185.3005,109.46,64.3961,93.4971,41.1182,15.9511,0,0,75.6136,68.6524,0,0,0,0,0,0,0,0,0,0,88.4198,90.8897,194.9883,147.1727,0,0,46.537,57.9323
PA O-40:2 (FA 22:2),196.6834,190.2174,43,30,0,0,82,57,24,22,0,0,0,0,49,81,0,25,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,32,40,37,61,0,0,35,52
PA O-40:2 (PA),0,0,35.5372,19.1825,0,0,0,0,0,0,0,0,0,0,0,0,34.2775,0,0,0,0,0,57.943,0,0,0,0,0,0,0,0,1.6142,0,0,0,0,0,0,0,0,0,1.2218
PA 40:8 (FA 20:4),24.472,46.465,27.0994,14.6479,11.4893,9.6907,66.5279,32.2936,0,6.3729,0,23.1973,0,0,40.7013,52.143,5.7327,4.0553,7.8331,18.1522,0,0,45.4292,0,0,0,0,0,0,0,0,0,0,0,9.0603,31.8959,8.8199,27.0847,0,0,28.0297,6.6003
