,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,feature,class,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
86,Cer 36:1;2,Cer,0.008435261,0.020502074,0.018398909,0.018360167,0.011646501,0.015468582,0.035834791,0.027360253,0.01986984,0.037176336,0.023990346,0.034084865,0.029719405,0.9,0.00,0.023154342,0.019482868,0.03369827,0.018795535,0.036949316,0.026416066,0.8,0.04,0.013115412,0.018587435,0.016519577,0.024823493,0.018261479,0.2,0.44,0.046042773,0.010352532,-2.2
124,DAG 16:1;0_24:0;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.010068511,#DIV/0!
42,Cer 36:2;4,Cer,,,,,0.002785652,0.002785652,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
125,DAG 16:1;0_24:1;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.006473304,#DIV/0!
44,Cer 38:0;3,Cer,0.003549351,,,0.004950382,0.002940557,0.00381343,0.007898419,0.006150978,0.002884651,0.007734057,0.008681459,0.00820707,0.006926105,0.9,0.05,0.006807314,0.005382365,0.006045099,0.005241812,0.005358883,0.005767095,0.6,0.02,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
90,Cer 38:1;2,Cer,0.005663849,0.014477889,0.013319171,0.010594973,0.008342361,0.010479649,0.042629585,0.03118546,0.020386394,0.041160069,0.03629806,0.04433637,0.035999323,1.8,0.00,0.025456542,0.022726559,0.034310723,0.021804095,0.04353434,0.029566452,1.5,0.00,0.010741381,0.024309336,0.016381122,0.022604898,0.018509184,0.8,0.04,0.014967715,,
126,DAG 16:2;0_18:0;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,0.002621498,,0.002621498,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
47,Cer 38:2;4,Cer,,,,0.004082173,0.003849792,0.003965983,,0.002731718,,,,,0.002731718,-0.5,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
48,Cer 40:0;2,Cer,,,0.007564639,0.005809026,0.005766129,0.006379931,0.016667702,0.025324201,0.013673238,0.02334127,0.01015156,0.014436687,0.017265776,1.4,0.02,0.010130371,0.013955697,0.06061551,0.018656141,0.011148501,0.022901244,1.8,0.24,0.006240464,0.015597284,0.009023694,0.00637286,0.009308576,0.5,0.32,0.105811264,0.027799157,-1.9
113,Cer 40:0;3,Cer,0.017204786,0.019813502,0.022667437,0.019628261,0.016047103,0.019072218,0.031845336,0.030836758,0.013229335,0.024860594,0.034933517,0.034196268,0.028316968,0.6,0.04,0.027361438,0.017042231,0.026329012,0.014634988,0.015162434,0.020106021,0.1,0.74,0.017699036,0.017487764,0.016053526,0.012558096,0.015949605,-0.3,0.10,,,
