Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
NAPE 32:8+NH4 (-NAPE 20:4),16,49,0,0,27,33,0,0,0,25,28,0,0,0,0,0,0,0,18,47,0,0,0,0,0,0,32,32,0,0,29,0,38,32,0,0,0,27,30,0,0,0
PE 34:6 (LPE p),117.333,113.0863,92.9459,87.7368,166.383,145.6765,38.9902,49,222.5323,190.2962,51.9872,46.9866,297.7885,319.7197,238.0709,239.693,64.8354,38.9885,34.9912,33.9917,98.9954,65.4049,179.8235,183.695,572.2819,533.6056,53.9893,46.7095,0,0,61.3281,103.8474,54.1385,44.2492,313.2197,367.258,93,79,0,0,0,0
NAPE 32:7+NH4 (-NAPE (18:1 NH4)),24,0,0,10,0,39,0,0,39,27,0,0,0,54,35,22,0,0,0,0,0,0,22,25,42,66,0,0,0,0,14,0,0,0,38,49,0,0,0,0,0,0
NAPE 32:7+NH4 (-NAPE (18:0 NH4)),44.9584,0,21.4778,28.0387,36.9842,0,8.6274,37.4955,0,11.0048,0,0,0,16.4869,0,0,0,0,28.7064,50.7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2139,28.777,36.5603,39.763,0,0,11.0964,20.0471
NAPE 32:7+NH4 (-NAPE (22:5 NH4)),27,27,29,25,32,30,0,0,62,40,0,0,50,49,62,55,0,0,0,0,0,0,33,37,82,89,0,0,0,0,22,0,24,0,55,49,0,0,0,0,0,0
PE 34:2 (-PE),11406,11144,11744,10313,15592,16489,10627,10569,22309,21621,22335,24248,23659,22397,24426,25724,22550,19735,19110,18089,24039,23515,20513,21469,15300,14549,18652,18374,0,0,9784,10057,11391,12556,6526,6499,5769,6108,28759,30412,22531,22671
PE 34:2 (LPE p),4.8744,39.6302,8.3547,23,39.632,26.8377,0,0,51.9209,59.0422,0,22,68.8897,70.9063,30.8263,55.7738,0,0,0,22,25,0,66.4639,52.4102,102.1117,136.7413,0,0,0,0,0,0,0,0,66.4224,89.9048,0,23,0,0,0,12
MMPE 34:8 (-MMPE),22,0,0,0,0,0,0,0,28,0,0,0,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0
NAPE 32:3+NH4 (-NAPE (18:1 NH4)),40,40,39,32,42,44,0,0,73,69,24,0,89,86,55,71,0,0,37,0,38,42,55,82,162,174,0,29,0,0,28,44,0,0,94,126,35,22,0,0,0,0
NAPE 32:3+NH4 (-NAPE (20:4 NH4)),66,64,39,30,67,72,22,0,116,106,32,30,125,118,99,125,37,29,25,22,39,42,108,110,236,241,32,45,0,0,47,51,40,32,137,157,33,39,0,0,0,0
PE 34:1 (-PE),40870,40855,46705,40410,54720,55436,39488,40266,56507,59899,60309,59639,60325,59275,62039,62011,53986,47602,51428,47340,62059,61689,56756,57010,43299,42749,55251,56641,0,0,26483,25518,31152,32983,27214,26381,24403,24544,56651,59879,41459,45837
PE 34:0 (-PE),3770,3530,4166,3630,4518,4751,3451,3556,4520,4824,4972,4809,4524,4673,4519,4692,4135,4200,3982,3824,4739,5055,4451,4197,3738,3433,4529,4796,0,0,2678,2475,2964,3302,2304,2249,2296,2320,4626,4887,4019,3700
PE O-36:6 (-PE),165,179,193,155,182,270,140,158,216,0,0,0,0,0,250,0,0,0,282,290,284,272,269,272,0,0,0,352,0,0,96,128,116,152,106,94,111,0,231,302,253,238
PE O-36:5 (-PE),4686,4630,5087,4323,5296,5435,4045,4047,4627,4489,4844,4842,4574,4480,4633,4725,4696,4709,4589,4396,5640,5538,4561,4498,0,0,4885,4893,0,0,0,0,0,0,0,0,0,0,4918,5036,0,3849
PE O-36:5 (LPE p),39,40,37,44.9974,50.953,36.9598,30,25,36.3757,32.0746,47,42,25.3776,21.8764,42.4172,46.9822,32,57,37,40,28,34,16.1249,36.6838,0,0,39,22.9984,0,0,0,0,0,0,0,0,0,0,35,35,0,0
PE 36:9 (-PE),328,0,414,336,446,0,332,299,640,614,672,648,580,567,622,618,482,449,558,452,578,638,610,581,0,334,476,387,0,0,0,0,0,0,0,0,0,0,760,825,598,609
NAPE 34:11+NH4 (-NAPE (18:2 NH4)),25,0,0,0,22,0,0,0,32,35,0,0,27,49,40,32,0,0,7,0,0,0,27,40,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
PE O-36:2 (-PE),2244,2193,2251,2031,2384,2474,1654,1737,3194,3046,3069,3263,3419,3295,3098,3674,4198,3408,3309,3566,4014,3765,3516,3631,2753,2691,3436,3537,0,0,1686,1766,1988,2116,1468,1546,1578,1516,3380,3609,2792,2481
MMPE 34:2 (-MMPE),39,28,45,0,49,44,0,27,42,37,0,51,37,35,32,50,27,0,0,0,49,74,44,49,0,35,28,39,0,0,64,45,34,78,0,25,40,23,69,77,45,34
