Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Hex3Cer 46:0;4 (LCB 18:0;2-H2O),0,0,0,8.51,0,0,0,9.9139,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,18.4429,0,0,0,0,0,0,0
Hex3Cer 28:0;3 (LCB 18:0;2-2H2O),0,0,0,0,19.3511,0,0,0,0,19.5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5435,0,0,0,0,6.5323,11.7833,0,0,0,0,0,0,0,0,0,0
"Hex3Cer 34:1;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,0,0,0,512,505,0,0,557,498,0,0,730,660,695,695,0,0,0,1018,0,0,488,631,449,409,0,0,0,0,0,0,0,0,338,353,0,0,0,0,0,0
Hex3Cer 34:1;3 (LCB 18:0;2-2H2O),0,0,0,0,28.9955,0,0,0,0,17.9203,0,0,31.8327,20.7502,7.9597,31.9938,0,0,0,0,0,0,0,5.9646,51.0654,62.9633,0,0,0,0,0,0,0,0,0,28.3884,0,0,0,0,0,0
"Hex3Cer 34:1;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,73.1058,69,0,0,59.5956,74.684,0,0,109.744,92.2725,131.8988,119.5944,0,0,0,169,0,0,101,106,50.0106,56.8867,0,0,0,0,0,0,0,0,59.8473,58.0667,0,0,0,0,0,0
Hex3Cer 34:1;3 (LCB 17:0;2-2H2O),0,0,0,0,42,59,0,0,37,52,0,0,49,74,77,69,0,0,0,120,0,0,60,62,45,47,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0
Hex3Cer 34:1;4 (LCB 18:0;2-2H2O),0,0,0,0,24.6919,0,0,0,0,0,0,0,0,12.665,0,2.4912,0,0,0,0,0,0,0,0,13.8272,17.1825,0,0,0,0,0,0,5.6099,12,10.5218,17.7541,0,0,0,0,0,0
"Hex3Cer 40:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,34.7205,44.7719,0,0,0,0,21.8374,0,0,0,41.3954,42.5522,0,0,0,0,0,0,0,0,0,29.0418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hex3Cer 40:1;2 (LCB 18:0;2-H2O),0,0,0,0,19.6085,35.0905,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hex3Cer 48:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,27.7618,25.4076,0,6.3938,18.1316,40.2714,13,10,32.9454,53.8067,22.6747,23.0725,0,0,0,0,0,0,25.4591,31.6239,74.2134,73.4904,0,0,0,0,0,0,0,0,63.6372,40.0248,0,0,0,0,0,7
