Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
PG 34:5 (-PG (NH4)),0,0,0,0,24,0,0,0,0,0,28,33,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-36:10 (-PG),0,0,0,0,40,34,28,30,38,23,28,22,0,0,0,0,27,32,37,0,23,25,23,0,0,0,44,25,0,37,49,38,43,27,27,22,27,0,22,23,29
PG 34:3 (-PG (NH4)),0,0,0,0,27,38,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0,0,0,0,0,0,0
PG 34:0 (-PG),0,0,0,0,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-36:1 (-PG),0,0,0,0,23,0,0,23,0,0,0,24,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,35,0,30,25,22,25,0,15,0,0,0,0,0,0
PG O-36:0 (-PG),0,0,0,0,99,104,0,0,74,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-36:0 (-PG (NH4)),0,0,0,0,138,101,0,0,92,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 36:3 (-PG (NH4)),0,0,0,0,27,30,0,0,0,22,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
PG 36:6 (-PG),0,0,0,0,0,37,27,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,35,41,27,0,0,24,0,28,0,0,0,0
PG O-28:7 (-PG (NH4)),0,0,0,0,0,0,67,47,35,27,25,0,22,0,0,35,47,23,23,0,22,22,0,0,0,0,17,0,0,0,23,0,0,25,0,52,47,27,0,0,0
PG 30:8 (-PG (NH4)),0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
LPG 24:6 (-PG (NH4)),0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG O-26:0 (-PG),0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
LPG 28:6 (-PG),0,0,0,0,0,0,0,0,52,34,40,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
PG O-38:8 (-PG),0,0,0,0,0,0,0,0,30,25,28,30,25,0,0,22,0,25,0,0,0,35,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0
PG 40:7 (-PG),0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
PG 26:7 (-PG (NH4)),0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,30,30,33,27,0,0,0,0,0,0,0,22,0,0,0,0,0,32,0,0,49,42,0,0,0,24
PG 38:12 (-PG (NH4)),0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,23,0,0,23,25,0,0,0,0,0,0,0,0,0,32,0,23,0,23,0,0
PG O-36:6 (-PG (NH4)),0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 46:9 (-PG),0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,0,0,0,0
PG 48:8 (-PG),0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
PG O-30:3 (-PG),0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,35,39,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
PG 32:2 (-PG),0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG 34:5 (-PG),0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG O-32:8 (-PG (NH4)),0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,30,29,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
PG 32:10 (-PG),0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
PG 20:8 (-PG (NH4)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,30,0,0,0,0,0,0,0,22,0,25,0,0,0,0,0
LPG 26:6 (-PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
